1|RESISTENCIA|SAM|SARR|RESISTENCIA|5|318240.496
2|EZEIZA|SAM|SAEF|EZEIZA|5|3865643.649
3|CORDOBA|SAM|SACF|CORDOBA|5|771074.12
4|MENDOZA|SAM|SAMF|MENDOZA|5|362782.043
5|COMODORO RIVADAVIA|SAM|SAVF|COMODORO RIVADAVIA|5|12590334.308
