1|Takeoff Run Available|TORA|Takeoff Run Available
2|Takeoff Distance Available|TODA|Takeoff Distance Available
3|AccLanding Distance Availableelerate-Stop Distance Available|ASDA|AccLanding Distance Availableelerate-Stop Distance Available
4|Landing Distance Available|LDA|Landing Distance Available
