166|Divergence (each side)|0|0|4|4|10
167|Divergence (each side)|0|0|5|4|10
168|Divergence (each side)|0|0|1|4|10
169|Divergence (each side)|0|0|2|4|10
170|Divergence (each side)|0|0|3|4|10
171|Divergence (each side)|0|0|4|4|10
172|Divergence (each side)|0|1|1|4|15
173|Divergence (each side)|0|1|2|4|15
174|Divergence (each side)|0|1|3|4|15
175|Divergence (each side)|0|1|4|4|15
176|Divergence (each side)|1|2|1|4|15
177|Divergence (each side)|1|2|2|4|15
178|Divergence (each side)|1|2|3|4|15
179|Divergence (each side)|2|2|4|4|15
180|Divergence (each side)|3|2|4|4|15
181|Length First section|0|0|4|4|500
182|Length First section|0|0|5|4|1500
183|Length First section|0|0|1|4|1600
184|Length First section|0|0|2|4|2500
185|Length First section|0|0|3|4|3000
186|Length First section|0|0|4|4|3000
187|Length First section|0|1|1|4|2500
188|Length First section|0|1|2|4|2500
189|Length First section|0|1|3|4|3000
190|Length First section|0|1|4|4|3000
191|Length First section|1|2|1|4|3000
192|Length First section|1|2|2|4|3000
193|Length First section|1|2|3|4|3000
194|Length First section|2|2|4|4|3000
195|Length First section|3|2|4|4|3000
196|Scope Length First section|0|0|4|4|4
197|Scope Length First section|0|0|5|4|15
198|Scope Length First section|0|0|1|4|5
199|Scope Length First section|0|0|2|4|4
200|Scope Length First section|0|0|3|4|3.33
201|Scope Length First section|0|0|4|4|2.5
202|Scope Length First section|0|1|1|4|3.3
203|Scope Length First section|0|1|2|4|3.3
204|Scope Length First section|0|1|3|4|2
205|Scope Length First section|0|1|4|4|2
206|Scope Length First section|1|2|1|4|2.5
207|Scope Length First section|1|2|2|4|2.5
208|Scope Length First section|1|2|3|4|2
209|Scope Length First section|2|2|4|4|2
210|Scope Length First section|3|2|4|4|2
211|Length Second section|0|0|4|4|0
212|Length Second section|0|0|5|4|0
213|Length Second section|0|0|1|4|0
214|Length Second section|0|0|2|4|0
215|Length Second section|0|0|3|4|0
216|Length Second section|0|0|4|4|0
217|Length Second section|0|1|1|4|0
218|Length Second section|0|1|2|4|0
219|Length Second section|0|1|3|4|3600
220|Length Second section|0|1|4|4|3600
221|Length Second section|1|2|1|4|12000
222|Length Second section|1|2|2|4|12000
223|Length Second section|1|2|3|4|3600
224|Length Second section|2|2|4|4|3600
225|Length Second section|3|2|4|4|3600
226|Scope Second section|0|0|4|4|0
227|Scope Second section|0|0|5|4|0
228|Scope Second section|0|0|1|4|0
229|Scope Second section|0|0|2|4|0
230|Scope Second section|0|0|3|4|0
231|Scope Second section|0|0|4|4|0
232|Scope Second section|0|1|1|4|0
233|Scope Second section|0|1|2|4|0
234|Scope Second section|0|1|3|4|2.5
235|Scope Second section|0|1|4|4|2.5
236|Scope Second section|1|2|1|4|3
237|Scope Second section|1|2|2|4|3
238|Scope Second section|1|2|3|4|2.5
239|Scope Second section|2|2|4|4|2.5
240|Scope Second section|3|2|4|4|2.5
241|Length Horizontal section|0|0|4|4|0
242|Length Horizontal section|0|0|5|4|0
243|Length Horizontal section|0|0|1|4|0
244|Length Horizontal section|0|0|2|4|0
245|Length Horizontal section|0|0|3|4|0
246|Length Horizontal section|0|0|4|4|0
247|Length Horizontal section|0|1|1|4|0
248|Length Horizontal section|0|1|2|4|0
249|Length Horizontal section|0|1|3|4|8400
250|Length Horizontal section|0|1|4|4|8400
251|Length Horizontal section|1|2|1|4|0
252|Length Horizontal section|1|2|2|4|0
253|Length Horizontal section|1|2|3|4|8400
254|Length Horizontal section|2|2|4|4|8400
255|Length Horizontal section|3|2|4|4|8400
256|Length Horizontal section total|0|0|4|4|0
257|Length Horizontal section total|0|0|5|4|0
258|Length Horizontal section total|0|0|1|4|0
259|Length Horizontal section total|0|0|2|4|0
260|Length Horizontal section total|0|0|3|4|0
261|Length Horizontal section total|0|0|4|4|0
262|Length Horizontal section total|0|1|1|4|0
263|Length Horizontal section total|0|1|2|4|0
264|Length Horizontal section total|0|1|3|4|15000
265|Length Horizontal section total|0|1|4|4|15000
266|Length Horizontal section total|1|2|1|4|15000
267|Length Horizontal section total|1|2|2|4|15000
268|Length Horizontal section total|1|2|3|4|15000
269|Length Horizontal section total|2|2|4|4|15000
270|Length Horizontal section total|3|2|4|4|15000
271|Slope|0|0|4|8|50
272|Slope|0|0|5|8|50
273|Slope|0|0|1|8|20
274|Slope|0|0|2|8|20
275|Slope|0|0|3|8|14.3
276|Slope|0|0|4|8|14.3
277|Slope|0|1|1|8|20
278|Slope|0|1|2|8|20
279|Slope|0|1|3|8|14.3
280|Slope|0|1|4|8|14.3
281|Slope|1|2|1|8|14.3
282|Slope|1|2|2|8|14.3
283|Slope|1|2|3|8|14.3
284|Slope|2|2|4|8|14.3
285|Slope|3|2|4|8|14.3
286|Slope|0|0|4|9|0
287|Slope|0|0|5|9|0
288|Slope|0|0|1|9|0
289|Slope|0|0|2|9|0
290|Slope|0|0|3|9|0
291|Slope|0|0|4|9|0
292|Slope|0|1|1|9|0
293|Slope|0|1|2|9|0
294|Slope|0|1|3|9|0
295|Slope|0|1|4|9|0
296|Slope|1|2|1|9|40
297|Slope|1|2|2|9|40
298|Slope|1|2|3|9|33.3
299|Slope|2|2|4|9|33.3
300|Slope|3|2|4|9|33.3
301|Length of inner edge|0|0|4|10|0
302|Length of inner edge|0|0|5|10|0
303|Length of inner edge|0|0|1|10|0
304|Length of inner edge|0|0|2|10|0
305|Length of inner edge|0|0|3|10|0
306|Length of inner edge|0|0|4|10|0
307|Length of inner edge|0|1|1|10|0
308|Length of inner edge|0|1|2|10|0
309|Length of inner edge|0|1|3|10|0
310|Length of inner edge|0|1|4|10|0
311|Length of inner edge|1|2|1|10|0
312|Length of inner edge|1|2|2|10|0
313|Length of inner edge|1|2|3|10|120
314|Length of inner edge|2|2|4|10|120
315|Length of inner edge|3|2|4|10|120
316|Distance from threshold|0|0|4|10|0
317|Distance from threshold|0|0|5|10|0
318|Distance from threshold|0|0|1|10|0
319|Distance from threshold|0|0|2|10|0
320|Distance from threshold|0|0|3|10|0
321|Distance from threshold|0|0|4|10|0
322|Distance from threshold|0|1|1|10|0
323|Distance from threshold|0|1|2|10|0
324|Distance from threshold|0|1|3|10|0
325|Distance from threshold|0|1|4|10|0
326|Distance from threshold|1|2|1|10|0
327|Distance from threshold|1|2|2|10|0
328|Distance from threshold|1|2|3|10|1800
329|Distance from threshold|2|2|4|10|1800
330|Distance from threshold|3|2|4|10|1800
331|Divergence (each side)|0|0|4|10|0
332|Divergence (each side)|0|0|5|10|0
333|Divergence (each side)|0|0|1|10|0
334|Divergence (each side)|0|0|2|10|0
335|Divergence (each side)|0|0|3|10|0
336|Divergence (each side)|0|0|4|10|0
337|Divergence (each side)|0|1|1|10|0
338|Divergence (each side)|0|1|2|10|0
339|Divergence (each side)|0|1|3|10|0
340|Divergence (each side)|0|1|4|10|0
341|Divergence (each side)|1|2|1|10|10
342|Divergence (each side)|1|2|2|10|10
343|Divergence (each side)|1|2|3|10|10
344|Divergence (each side)|2|2|4|10|10
345|Divergence (each side)|3|2|4|10|10
