runway_vw.496|496|MEZ|01/19|1400|50|TIE|NIL|416|POLYGON ((-64.2996016916322 -31.394739744580406, -64.29908030818773 -31.39479825489332, -64.30099127442891 -31.407326259655864, -64.3015127253909 -31.40726773981759, -64.2996016916322 -31.394739744580406))
runway_vw.80|80|CCP|02/20|700|18|TIE|NIL|69|POLYGON ((-65.61570637183003 -27.343151601518706, -65.61555562814173 -27.343242398428664, -65.61868962690791 -27.34739140020621, -65.6188403730641 -27.34730059974103, -65.61570637183003 -27.343151601518706))
runway_vw.769|769|ZAP|09/27|2200|40|ASF|IPO|628|POLYGON ((-70.10086706313113 -38.9771216356674, -70.10093293704503 -38.97747836431529, -70.12606633178521 -38.97464780083941, -70.12600033505822 -38.97429108803207, -70.10086706313113 -38.9771216356674))
runway_vw.185|185|FDO|05/23|1690|30|ASF|ILE|160|POLYGON ((-58.58563306119989 -34.44988973658945, -58.58539893853991 -34.45007826330279, -58.59611393867039 -34.45920827345155, -58.596348061069406 -34.45901972644068, -58.58563306119989 -34.44988973658945))
runway_vw.660|660|SJU|07/25|2000|40|HOR|ILE|543|POLYGON ((-67.81627894390462 -49.30855676153925, -67.81638105571878 -49.308203238429535, -67.78936114850812 -49.304863250995005, -67.78925885111438 -49.305216748973606, -67.81627894390462 -49.30855676153925))
runway_vw.831|831|MBI|05/23|1208|40|TIE|IPO|717|POLYGON ((-56.61971409594072 -64.23667730365865, -56.61936590201082 -64.2370026961291, -56.64197600593558 -64.24158272300588, -56.64232399201654 -64.24125727678226, -56.61971409594072 -64.23667730365865))
runway_vw.832|832|CSU|03/21|1000|25|TIE|NIL|719|POLYGON ((-58.01227855861808 -30.79800336370941, -58.01204921905343 -30.798091080635498, -58.01628254473785 -30.80633830672293, -58.01651189960021 -30.806250582066433, -58.01227855861808 -30.79800336370941))
runway_vw.843|843|CCH|05/23|1150|25|TIE|ILE|721|POLYGON ((-61.40116343949283 -35.6661270963369, -61.400974560324975 -35.66627890358173, -61.40988655952388 -35.673661910478685, -61.410075440293966 -35.67351008944001, -61.40116343949283 -35.6661270963369))
runway_vw.839|839|NDR|16/34|700|20|TIE|NIL|720|POLYGON ((-59.78899496723291 -35.33023031423035, -59.78918303293988 -35.330323685643904, -59.79316602855868 -35.32493568276012, -59.79297797161465 -35.32484231711373, -59.78899496723291 -35.33023031423035))
runway_vw.218|218|GNR|09/27|2156|45|ASF|ILE|189|POLYGON ((-67.60795676091621 -39.000484354954196, -67.60799523917288 -39.00087964503711, -67.63216430628451 -38.99944464230138, -67.63212569380538 -38.999049357689984, -67.60795676091621 -39.000484354954196))
runway_vw.47|47|BIO|06/24|1750|30|ASF|ILE|42|POLYGON ((-72.2093266034457 -51.602474775844506, -72.20918339612466 -51.602729224012364, -72.23134844948393 -51.60756423825704, -72.23149155008716 -51.607309761604206, -72.2093266034457 -51.602474775844506))
runway_vw.5|5|AER|13/31|2100|40|HOR|ILE|5|POLYGON ((-58.425369900828514 -34.554092482220845, -58.42512609961483 -34.553793517642276, -58.40738311564824 -34.56369549973113, -58.407626884795064 -34.563994500132196, -58.425369900828514 -34.554092482220845))
runway_vw.845|845|CDL|02/20|1200|36|TIE|NIL|722|POLYGON ((-63.74696126448733 -30.75240758302858, -63.74659473536938 -30.752480416714583, -63.749399716654494 -30.763008420928237, -63.749766283202156 -30.762935578814844, -63.74696126448733 -30.75240758302858))
runway_vw.213|213|GIT|02/20|630|20|TIE|NIL|184|POLYGON ((-59.178860097604094 -29.15572957320978, -59.17865990236603 -29.155770426711058, -59.18012989741886 -29.161320428062385, -59.180330102551316 -29.1612795718584, -59.178860097604094 -29.15572957320978))
runway_vw.133|133|DFR|02/20|750|20|TIE|NIL|121|POLYGON ((-61.77364704397388 -36.587605065043434, -61.77343895593905 -36.58767093486351, -61.77647794869504 -36.59391393735058, -61.77668605121786 -36.593848062556354, -61.77364704397388 -36.587605065043434))
runway_vw.659|659|SJT|05/23|1400|25|TIE|ILE|542|POLYGON ((-60.561509269467635 -30.760558862578275, -60.56131273036785 -30.760693137324868, -60.570386725617915 -30.77059714391547, -60.57058327421807 -30.770462855988, -60.561509269467635 -30.760558862578275))
runway_vw.830|830|CCI|11/29|1000|20|TIE|ILE|716|POLYGON ((-60.28691238190441 -29.852275119756815, -60.28694872918036 -29.85245265799421, -60.297123738141195 -29.850869323822426, -60.29708737294474 -29.8506917872625, -60.28691238190441 -29.852275119756815))
runway_vw.847|847|COA|01/19|700|24|TIE|NIL|683|POLYGON ((-62.37449601459242 -33.66111020372951, -62.37424198534846 -33.661151796139215, -62.37569497652942 -33.667356797511204, -62.37594902341148 -33.66731520235751, -62.37449601459242 -33.66111020372951))
runway_vw.849|849|PTA|14/32|1190|23|ASF|NIL|491|POLYGON ((-57.901510699892704 -34.970345294083174, -57.90132930025109 -34.97021470584612, -57.89266929784955 -34.97836469949563, -57.8928507022943 -34.978495300433714, -57.901510699892704 -34.970345294083174))
runway_vw.848|848|CLE|02/20|927|18|TIE|NIL|665|POLYGON ((-64.16879012448697 -32.0839715403621, -64.16860387547608 -32.084006459570055, -64.17071786768858 -32.092178461288505, -64.17090413227449 -32.09214353864361, -64.16879012448697 -32.0839715403621))
runway_vw.215|215|GLM|01/19|500|27|TIE|NIL|186|POLYGON ((-58.522056996096076 -32.97606632246116, -58.521781003854635 -32.97609567738657, -58.52242299734588 -32.98038367827749, -58.52269900260483 -32.98035432157019, -58.522056996096076 -32.97606632246116))
runway_vw.519|519|MTR|01/19|1110|28|TIE|NIL|434|POLYGON ((-62.026884507428385 -30.680981974297687, -62.027171492504856 -30.680934025542136, -62.024953478248875 -30.671016027653852, -62.02466652168442 -30.671063972186072, -62.026884507428385 -30.680981974297687))
runway_vw.135|135|DIL|01/19|2550|48|HOR|ILE|123|POLYGON ((-59.22758043992744 -37.22291413076744, -59.22704178214651 -37.2229525352766, -59.22959447965377 -37.24584143255153, -59.23013329797558 -37.245803011269565, -59.22758043992744 -37.22291413076744))
runway_vw.216|216|GLP|01/19|848|17|TIE|NIL|187|POLYGON ((-58.56398247844533 -32.93766119813028, -58.56381552152563 -32.93769280181357, -58.565787515024105 -32.945099803311734, -58.56595448494687 -32.945068196632086, -58.56398247844533 -32.93766119813028))
