1|TORA|Takeoff Run Available|Takeoff Run Available
2|TODA|Takeoff Distance Available|Takeoff Distance Available
3|ASDA|AccLanding Distance Availableelerate-Stop Distance Available|AccLanding Distance Availableelerate-Stop Distance Available
4|LDA|Landing Distance Available|Landing Distance Available
