166,4,0,0,4,Divergence (each side),10
167,4,0,0,5,Divergence (each side),10
168,4,0,0,1,Divergence (each side),10
169,4,0,0,2,Divergence (each side),10
170,4,0,0,3,Divergence (each side),10
171,4,0,0,4,Divergence (each side),10
172,4,1,0,1,Divergence (each side),15
173,4,1,0,2,Divergence (each side),15
174,4,1,0,3,Divergence (each side),15
175,4,1,0,4,Divergence (each side),15
176,4,2,1,1,Divergence (each side),15
177,4,2,1,2,Divergence (each side),15
178,4,2,1,3,Divergence (each side),15
179,4,2,2,4,Divergence (each side),15
180,4,2,3,4,Divergence (each side),15
181,4,0,0,4,Length First section,500
182,4,0,0,5,Length First section,1500
183,4,0,0,1,Length First section,1600
184,4,0,0,2,Length First section,2500
185,4,0,0,3,Length First section,3000
186,4,0,0,4,Length First section,3000
187,4,1,0,1,Length First section,2500
188,4,1,0,2,Length First section,2500
189,4,1,0,3,Length First section,3000
190,4,1,0,4,Length First section,3000
191,4,2,1,1,Length First section,3000
192,4,2,1,2,Length First section,3000
193,4,2,1,3,Length First section,3000
194,4,2,2,4,Length First section,3000
195,4,2,3,4,Length First section,3000
196,4,0,0,4,Scope Length First section,4
197,4,0,0,5,Scope Length First section,15
198,4,0,0,1,Scope Length First section,5
199,4,0,0,2,Scope Length First section,4
200,4,0,0,3,Scope Length First section,3.33
201,4,0,0,4,Scope Length First section,2.5
202,4,1,0,1,Scope Length First section,3.3
203,4,1,0,2,Scope Length First section,3.3
204,4,1,0,3,Scope Length First section,2
205,4,1,0,4,Scope Length First section,2
206,4,2,1,1,Scope Length First section,2.5
207,4,2,1,2,Scope Length First section,2.5
208,4,2,1,3,Scope Length First section,2
209,4,2,2,4,Scope Length First section,2
210,4,2,3,4,Scope Length First section,2
211,4,0,0,4,Length Second section,0
212,4,0,0,5,Length Second section,0
213,4,0,0,1,Length Second section,0
214,4,0,0,2,Length Second section,0
215,4,0,0,3,Length Second section,0
216,4,0,0,4,Length Second section,0
217,4,1,0,1,Length Second section,0
218,4,1,0,2,Length Second section,0
219,4,1,0,3,Length Second section,3600
220,4,1,0,4,Length Second section,3600
221,4,2,1,1,Length Second section,12000
222,4,2,1,2,Length Second section,12000
223,4,2,1,3,Length Second section,3600
224,4,2,2,4,Length Second section,3600
225,4,2,3,4,Length Second section,3600
226,4,0,0,4,Scope Second section,0
227,4,0,0,5,Scope Second section,0
228,4,0,0,1,Scope Second section,0
229,4,0,0,2,Scope Second section,0
230,4,0,0,3,Scope Second section,0
231,4,0,0,4,Scope Second section,0
232,4,1,0,1,Scope Second section,0
233,4,1,0,2,Scope Second section,0
234,4,1,0,3,Scope Second section,2.5
235,4,1,0,4,Scope Second section,2.5
236,4,2,1,1,Scope Second section,3
237,4,2,1,2,Scope Second section,3
238,4,2,1,3,Scope Second section,2.5
239,4,2,2,4,Scope Second section,2.5
240,4,2,3,4,Scope Second section,2.5
241,4,0,0,4,Length Horizontal section,0
242,4,0,0,5,Length Horizontal section,0
243,4,0,0,1,Length Horizontal section,0
244,4,0,0,2,Length Horizontal section,0
245,4,0,0,3,Length Horizontal section,0
246,4,0,0,4,Length Horizontal section,0
247,4,1,0,1,Length Horizontal section,0
248,4,1,0,2,Length Horizontal section,0
249,4,1,0,3,Length Horizontal section,8400
250,4,1,0,4,Length Horizontal section,8400
251,4,2,1,1,Length Horizontal section,0
252,4,2,1,2,Length Horizontal section,0
253,4,2,1,3,Length Horizontal section,8400
254,4,2,2,4,Length Horizontal section,8400
255,4,2,3,4,Length Horizontal section,8400
256,4,0,0,4,Length Horizontal section total,0
257,4,0,0,5,Length Horizontal section total,0
258,4,0,0,1,Length Horizontal section total,0
259,4,0,0,2,Length Horizontal section total,0
260,4,0,0,3,Length Horizontal section total,0
261,4,0,0,4,Length Horizontal section total,0
262,4,1,0,1,Length Horizontal section total,0
263,4,1,0,2,Length Horizontal section total,0
264,4,1,0,3,Length Horizontal section total,15000
265,4,1,0,4,Length Horizontal section total,15000
266,4,2,1,1,Length Horizontal section total,15000
267,4,2,1,2,Length Horizontal section total,15000
268,4,2,1,3,Length Horizontal section total,15000
269,4,2,2,4,Length Horizontal section total,15000
270,4,2,3,4,Length Horizontal section total,15000
271,8,0,0,4,Scope,50
272,8,0,0,5,Scope,50
273,8,0,0,1,Scope,20
274,8,0,0,2,Scope,20
275,8,0,0,3,Scope,14.3
276,8,0,0,4,Scope,14.3
277,8,1,0,1,Scope,20
278,8,1,0,2,Scope,20
279,8,1,0,3,Scope,14.3
280,8,1,0,4,Scope,14.3
281,8,2,1,1,Scope,14.3
282,8,2,1,2,Scope,14.3
283,8,2,1,3,Scope,14.3
284,8,2,2,4,Scope,14.3
285,8,2,3,4,Scope,14.3
286,9,0,0,4,Scope,0
287,9,0,0,5,Scope,0
288,9,0,0,1,Scope,0
289,9,0,0,2,Scope,0
290,9,0,0,3,Scope,0
291,9,0,0,4,Scope,0
292,9,1,0,1,Scope,0
293,9,1,0,2,Scope,0
294,9,1,0,3,Scope,0
295,9,1,0,4,Scope,0
296,9,2,1,1,Scope,40
297,9,2,1,2,Scope,40
298,9,2,1,3,Scope,33.3
299,9,2,2,4,Scope,33.3
300,9,2,3,4,Scope,33.3
301,10,0,0,4,Length of inner edge,0
302,10,0,0,5,Length of inner edge,0
303,10,0,0,1,Length of inner edge,0
304,10,0,0,2,Length of inner edge,0
305,10,0,0,3,Length of inner edge,0
306,10,0,0,4,Length of inner edge,0
307,10,1,0,1,Length of inner edge,0
308,10,1,0,2,Length of inner edge,0
309,10,1,0,3,Length of inner edge,0
310,10,1,0,4,Length of inner edge,0
311,10,2,1,1,Length of inner edge,0
312,10,2,1,2,Length of inner edge,0
313,10,2,1,3,Length of inner edge,120
314,10,2,2,4,Length of inner edge,120
315,10,2,3,4,Length of inner edge,120
316,10,0,0,4,Distance from threshold,0
317,10,0,0,5,Distance from threshold,0
318,10,0,0,1,Distance from threshold,0
319,10,0,0,2,Distance from threshold,0
320,10,0,0,3,Distance from threshold,0
321,10,0,0,4,Distance from threshold,0
322,10,1,0,1,Distance from threshold,0
323,10,1,0,2,Distance from threshold,0
324,10,1,0,3,Distance from threshold,0
325,10,1,0,4,Distance from threshold,0
326,10,2,1,1,Distance from threshold,0
327,10,2,1,2,Distance from threshold,0
328,10,2,1,3,Distance from threshold,1800
329,10,2,2,4,Distance from threshold,1800
330,10,2,3,4,Distance from threshold,1800
331,10,0,0,4,Divergence (each side),0
332,10,0,0,5,Divergence (each side),0
333,10,0,0,1,Divergence (each side),0
334,10,0,0,2,Divergence (each side),0
335,10,0,0,3,Divergence (each side),0
336,10,0,0,4,Divergence (each side),0
337,10,1,0,1,Divergence (each side),0
338,10,1,0,2,Divergence (each side),0
339,10,1,0,3,Divergence (each side),0
340,10,1,0,4,Divergence (each side),0
341,10,2,1,1,Divergence (each side),10
342,10,2,1,2,Divergence (each side),10
343,10,2,1,3,Divergence (each side),10
344,10,2,2,4,Divergence (each side),10
345,10,2,3,4,Divergence (each side),10
346,10,0,0,4,Scope,0
347,10,0,0,5,Scope,0
348,10,0,0,1,Scope,0
349,10,0,0,2,Scope,0
350,10,0,0,3,Scope,0
351,10,0,0,4,Scope,0
352,10,1,0,1,Scope,0
353,10,1,0,2,Scope,0
354,10,1,0,3,Scope,0
355,10,1,0,4,Scope,0
356,10,2,1,1,Scope,4
357,10,2,1,2,Scope,4
358,10,2,1,3,Scope,3.33
359,10,2,2,4,Scope,3.33
360,10,2,3,4,Scope,3.33
361,11,0,0,4,Length of inner edge,50
362,11,0,0,5,Length of inner edge,45
363,11,0,0,0,Length of inner edge,60
364,11,0,0,1,Length of inner edge,80
365,11,0,0,2,Length of inner edge,150
366,11,0,0,3,Length of inner edge,150
367,11,0,0,2,Length of inner edge,180
368,11,0,0,3,Length of inner edge,180
369,11,0,0,4,Distance from runway end b,25
370,11,0,0,5,Distance from runway end b,15
371,11,0,0,0,Distance from runway end b,30
372,11,0,0,1,Distance from runway end b,60
373,11,0,0,2,Distance from runway end b,60
374,11,0,0,3,Distance from runway end b,60
375,11,0,0,2,Distance from runway end b,60
376,11,0,0,3,Distance from runway end b,60
377,11,0,0,4,Divergence (each side),10
378,11,0,0,5,Divergence (each side),10
379,11,0,0,0,Divergence (each side),10
380,11,0,0,1,Divergence (each side),10
381,11,0,0,2,Divergence (each side),10
382,11,0,0,3,Divergence (each side),10
383,11,0,0,2,Divergence (each side),10
384,11,0,0,3,Divergence (each side),12.5
385,11,0,0,4,Final width,150
386,11,0,0,5,Final width,345
387,11,0,0,0,Final width,380
388,11,0,0,1,Final width,580
389,11,0,0,2,Final width,580
390,11,0,0,3,Final width,580
391,11,0,0,2,Final width,1200
392,11,0,0,3,Final width,1200
393,11,0,0,4,Length,500
394,11,0,0,5,Length,1500
395,11,0,0,0,Length,1600
396,11,0,0,1,Length,2500
397,11,0,0,2,Length,3000
398,11,0,0,3,Length,3000
399,11,0,0,2,Length,15000
400,11,0,0,3,Length,15000
401,11,0,0,4,Slope,4
402,11,0,0,5,Slope,15
403,11,0,0,0,Slope,5
404,11,0,0,1,Slope,4
405,11,0,0,2,Slope,2
406,11,0,0,3,Slope,2
407,11,0,0,2,Slope,2
408,11,0,0,3,Slope,2
